feature,importance
OCCUPATION_TYPE_Realty agents,0.0
OCCUPATION_TYPE_Sales staff,5.7
OCCUPATION_TYPE_Secretaries,0.0
OCCUPATION_TYPE_Security staff,1.5
OCCUPATION_TYPE_Unemployed,0.0
OCCUPATION_TYPE_Waiters/barmen staff,1.0
WEEKDAY_APPR_PROCESS_START_FRIDAY,4.0
WEEKDAY_APPR_PROCESS_START_MONDAY,8.9
WEEKDAY_APPR_PROCESS_START_SATURDAY,1.7000000000000004
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.8999999999999999
WEEKDAY_APPR_PROCESS_START_THURSDAY,3.0
WEEKDAY_APPR_PROCESS_START_TUESDAY,4.9
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,3.0
ORGANIZATION_TYPE_Advertising,0.0
ORGANIZATION_TYPE_Agriculture,0.7
ORGANIZATION_TYPE_Bank,2.9
ORGANIZATION_TYPE_Business Entity Type 1,0.6000000000000001
ORGANIZATION_TYPE_Business Entity Type 2,0.7
ORGANIZATION_TYPE_Business Entity Type 3,14.2
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Construction,14.7
ORGANIZATION_TYPE_Culture,0.0
ORGANIZATION_TYPE_Electricity,0.0
ORGANIZATION_TYPE_Emergency,0.1
ORGANIZATION_TYPE_Government,3.1999999999999997
ORGANIZATION_TYPE_Hotel,5.9
ORGANIZATION_TYPE_Housing,3.5
ORGANIZATION_TYPE_Industry: type 1,0.0
ORGANIZATION_TYPE_Industry: type 10,0.0
ORGANIZATION_TYPE_Industry: type 11,0.0
ORGANIZATION_TYPE_Industry: type 12,0.4
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Industry: type 2,1.6000000000000003
ORGANIZATION_TYPE_Industry: type 3,0.5
ORGANIZATION_TYPE_Industry: type 4,0.0
ORGANIZATION_TYPE_Industry: type 5,0.2
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Industry: type 7,0.1
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Industry: type 9,5.1
ORGANIZATION_TYPE_Insurance,0.0
ORGANIZATION_TYPE_Kindergarten,1.7000000000000002
ORGANIZATION_TYPE_Legal Services,0.0
ORGANIZATION_TYPE_Medicine,3.2
ORGANIZATION_TYPE_Military,9.8
ORGANIZATION_TYPE_Mobile,0.6000000000000001
ORGANIZATION_TYPE_Other,0.7000000000000001
ORGANIZATION_TYPE_Police,1.3000000000000005
ORGANIZATION_TYPE_Postal,0.1
ORGANIZATION_TYPE_Realtor,4.9
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Restaurant,0.1
ORGANIZATION_TYPE_School,1.8
ORGANIZATION_TYPE_Security,0.2
ORGANIZATION_TYPE_Security Ministries,0.7
ORGANIZATION_TYPE_Self-employed,24.4
ORGANIZATION_TYPE_Services,0.2
ORGANIZATION_TYPE_Telecom,0.0
ORGANIZATION_TYPE_Trade: type 1,0.6000000000000001
ORGANIZATION_TYPE_Trade: type 2,8.9
ORGANIZATION_TYPE_Trade: type 3,2.7
ORGANIZATION_TYPE_Trade: type 4,0.0
ORGANIZATION_TYPE_Trade: type 5,0.0
ORGANIZATION_TYPE_Trade: type 6,0.0
ORGANIZATION_TYPE_Trade: type 7,0.5
ORGANIZATION_TYPE_Transport: type 1,0.0
ORGANIZATION_TYPE_Transport: type 2,0.0
ORGANIZATION_TYPE_Transport: type 3,6.5
ORGANIZATION_TYPE_Transport: type 4,0.7
ORGANIZATION_TYPE_University,0.1
ORGANIZATION_TYPE_XNA,0.0
FONDKAPREMONT_MODE_not specified,2.3000000000000003
FONDKAPREMONT_MODE_org spec account,2.9000000000000004
FONDKAPREMONT_MODE_reg oper account,1.4000000000000001
FONDKAPREMONT_MODE_reg oper spec account,0.9
HOUSETYPE_MODE_block of flats,1.2
HOUSETYPE_MODE_specific housing,0.1
HOUSETYPE_MODE_terraced house,0.0
WALLSMATERIAL_MODE_Block,0.9
WALLSMATERIAL_MODE_Mixed,0.1
WALLSMATERIAL_MODE_Monolithic,0.2
WALLSMATERIAL_MODE_Others,0.7999999999999999
WALLSMATERIAL_MODE_Panel,5.6000000000000005
"WALLSMATERIAL_MODE_Stone, brick",4.3
WALLSMATERIAL_MODE_Wooden,0.7
EMERGENCYSTATE_MODE_No,1.7999999999999998
EMERGENCYSTATE_MODE_Yes,0.0
OWN_CAR_AGE_CATEGORY_very-new,6.699999999999999
OWN_CAR_AGE_CATEGORY_new,22.099999999999994
OWN_CAR_AGE_CATEGORY_old,0.7
OWN_CAR_AGE_CATEGORY_very-old,1.3
OWN_CAR_AGE_CATEGORY_antique,0.4
OWN_CAR_AGE_CATEGORY_not-have,5.000000000000001
bureau_DAYS_CREDIT_count,11.9
bureau_DAYS_CREDIT_mean,64.10000000000001
bureau_DAYS_CREDIT_max,136.9
bureau_DAYS_CREDIT_min,50.8
bureau_DAYS_CREDIT_var,49.9
bureau_DAYS_CREDIT_sum,60.900000000000006
bureau_CREDIT_DAY_OVERDUE_mean,3.6999999999999993
bureau_CREDIT_DAY_OVERDUE_max,3.0
bureau_CREDIT_DAY_OVERDUE_min,0.0
bureau_DAYS_CREDIT_ENDDATE_mean,57.89999999999999
bureau_DAYS_CREDIT_ENDDATE_max,119.1
bureau_DAYS_CREDIT_ENDDATE_min,47.8
bureau_DAYS_CREDIT_ENDDATE_var,73.0
bureau_DAYS_CREDIT_ENDDATE_sum,56.2
bureau_DAYS_ENDDATE_FACT_count,12.500000000000002
bureau_DAYS_ENDDATE_FACT_mean,48.30000000000001
bureau_DAYS_ENDDATE_FACT_max,107.40000000000002
bureau_DAYS_ENDDATE_FACT_min,41.5
bureau_DAYS_ENDDATE_FACT_var,49.300000000000004
bureau_DAYS_ENDDATE_FACT_sum,30.7
bureau_CNT_CREDIT_PROLONG_mean,2.7
bureau_CNT_CREDIT_PROLONG_max,1.8000000000000003
bureau_CNT_CREDIT_PROLONG_min,0.0
bureau_CNT_CREDIT_PROLONG_var,8.3
bureau_AMT_CREDIT_SUM_mean,79.60000000000001
bureau_AMT_CREDIT_SUM_max,65.0
bureau_AMT_CREDIT_SUM_min,76.89999999999999
bureau_AMT_CREDIT_SUM_var,50.3
bureau_AMT_CREDIT_SUM_sum,62.50000000000001
bureau_AMT_CREDIT_SUM_DEBT_mean,90.2
bureau_AMT_CREDIT_SUM_DEBT_max,51.49999999999999
bureau_AMT_CREDIT_SUM_DEBT_min,34.300000000000004
bureau_AMT_CREDIT_SUM_DEBT_var,61.29999999999999
bureau_AMT_CREDIT_SUM_LIMIT_count,14.400000000000002
bureau_AMT_CREDIT_SUM_LIMIT_mean,30.3
bureau_AMT_CREDIT_SUM_LIMIT_max,24.200000000000003
bureau_AMT_CREDIT_SUM_LIMIT_min,15.0
bureau_AMT_CREDIT_SUM_LIMIT_var,36.5
bureau_AMT_CREDIT_SUM_OVERDUE_mean,22.3
bureau_AMT_CREDIT_SUM_OVERDUE_max,15.200000000000001
bureau_AMT_CREDIT_SUM_OVERDUE_min,0.0
bureau_AMT_CREDIT_SUM_OVERDUE_var,4.6000000000000005
bureau_DAYS_CREDIT_UPDATE_mean,45.0
bureau_DAYS_CREDIT_UPDATE_max,61.5
bureau_DAYS_CREDIT_UPDATE_min,33.39999999999999
bureau_DAYS_CREDIT_UPDATE_var,50.5
bureau_DAYS_CREDIT_UPDATE_sum,31.500000000000004
bureau_CREDIT_ACTIVE_Active_count,50.8
bureau_CREDIT_ACTIVE_Active_count_norm,40.800000000000004
bureau_CREDIT_ACTIVE_Bad debt_count,0.0
bureau_CREDIT_ACTIVE_Bad debt_count_norm,0.0
bureau_CREDIT_ACTIVE_Sold_count,0.0
bureau_CREDIT_ACTIVE_Sold_count_norm,12.9
bureau_CREDIT_TYPE_Another type of loan_count,0.0
bureau_CREDIT_TYPE_Another type of loan_count_norm,1.2000000000000002
bureau_CREDIT_TYPE_Car loan_count,1.9000000000000001
bureau_CREDIT_TYPE_Car loan_count_norm,22.5
bureau_CREDIT_TYPE_Cash loan (non-earmarked)_count,0.0
bureau_CREDIT_TYPE_Cash loan (non-earmarked)_count_norm,0.0
bureau_CREDIT_TYPE_Consumer credit_count,12.8
bureau_CREDIT_TYPE_Consumer credit_count_norm,31.3
bureau_CREDIT_TYPE_Credit card_count,18.4
bureau_CREDIT_TYPE_Credit card_count_norm,24.9
bureau_CREDIT_TYPE_Interbank credit_count,0.0
bureau_CREDIT_TYPE_Loan for business development_count,0.0
bureau_CREDIT_TYPE_Loan for business development_count_norm,0.0
bureau_CREDIT_TYPE_Loan for purchase of shares (margin lending)_count,0.0
bureau_CREDIT_TYPE_Loan for purchase of shares (margin lending)_count_norm,0.0
bureau_CREDIT_TYPE_Loan for the purchase of equipment_count,0.0
bureau_CREDIT_TYPE_Loan for the purchase of equipment_count_norm,0.0
bureau_CREDIT_TYPE_Loan for working capital replenishment_count,0.5
bureau_CREDIT_TYPE_Loan for working capital replenishment_count_norm,1.0
bureau_CREDIT_TYPE_Microloan_count,12.6
bureau_CREDIT_TYPE_Microloan_count_norm,25.3
bureau_CREDIT_TYPE_Mobile operator loan_count,0.0
bureau_CREDIT_TYPE_Mortgage_count,9.000000000000002
bureau_CREDIT_TYPE_Mortgage_count_norm,20.8
bureau_CREDIT_TYPE_Real estate loan_count,0.0
bureau_CREDIT_TYPE_Real estate loan_count_norm,0.0
bureau_CREDIT_TYPE_Unknown type of loan_count,0.0
bureau_CREDIT_TYPE_Unknown type of loan_count_norm,0.0
previous_AMT_ANNUITY_count,8.8
previous_AMT_ANNUITY_mean,68.39999999999999
previous_AMT_ANNUITY_max,47.5
previous_AMT_ANNUITY_min,23.0
previous_AMT_ANNUITY_var,44.00000000000001
previous_AMT_ANNUITY_sum,36.9
previous_AMT_APPLICATION_mean,44.4
previous_AMT_APPLICATION_max,30.6
previous_AMT_APPLICATION_min,23.5
previous_AMT_APPLICATION_var,38.1
previous_AMT_APPLICATION_sum,31.800000000000004
previous_AMT_DOWN_PAYMENT_count,5.3
previous_AMT_DOWN_PAYMENT_mean,33.199999999999996
previous_AMT_DOWN_PAYMENT_max,37.3
previous_AMT_DOWN_PAYMENT_min,13.7
previous_AMT_DOWN_PAYMENT_var,33.3
previous_AMT_DOWN_PAYMENT_sum,56.6
previous_HOUR_APPR_PROCESS_START_mean,71.1
previous_HOUR_APPR_PROCESS_START_max,23.2
previous_HOUR_APPR_PROCESS_START_min,33.8
previous_HOUR_APPR_PROCESS_START_var,71.39999999999999
previous_RATE_DOWN_PAYMENT_mean,36.7
previous_RATE_DOWN_PAYMENT_max,44.2
previous_RATE_DOWN_PAYMENT_min,9.600000000000001
previous_RATE_DOWN_PAYMENT_var,38.6
previous_RATE_DOWN_PAYMENT_sum,36.2
previous_DAYS_DECISION_mean,38.400000000000006
previous_DAYS_DECISION_max,66.69999999999999
previous_DAYS_DECISION_min,37.8
previous_DAYS_DECISION_var,40.6
previous_DAYS_DECISION_sum,39.5
previous_SELLERPLACE_AREA_mean,50.199999999999996
previous_SELLERPLACE_AREA_max,45.7
previous_SELLERPLACE_AREA_var,36.300000000000004
previous_CNT_PAYMENT_count,3.6000000000000005
previous_CNT_PAYMENT_mean,96.4
previous_CNT_PAYMENT_max,9.0
previous_CNT_PAYMENT_min,7.599999999999999
previous_CNT_PAYMENT_var,66.2
previous_CNT_PAYMENT_sum,27.599999999999998
previous_DAYS_FIRST_DRAWING_count,5.6
previous_DAYS_FIRST_DRAWING_mean,21.1
previous_DAYS_FIRST_DRAWING_max,0.1
previous_DAYS_FIRST_DRAWING_min,25.7
previous_DAYS_FIRST_DRAWING_var,17.3
previous_DAYS_FIRST_DRAWING_sum,23.2
previous_DAYS_FIRST_DUE_mean,41.10000000000001
previous_DAYS_FIRST_DUE_max,14.8
previous_DAYS_FIRST_DUE_min,25.599999999999998
previous_DAYS_LAST_DUE_1ST_VERSION_mean,49.5
previous_DAYS_LAST_DUE_1ST_VERSION_max,84.60000000000001
previous_DAYS_LAST_DUE_1ST_VERSION_min,26.900000000000002
previous_DAYS_LAST_DUE_mean,30.200000000000003
previous_DAYS_LAST_DUE_max,17.9
previous_DAYS_LAST_DUE_min,18.1
previous_DAYS_LAST_DUE_var,47.49999999999999
previous_DAYS_LAST_DUE_sum,38.9
previous_NFLAG_INSURED_ON_APPROVAL_mean,15.0
previous_NFLAG_INSURED_ON_APPROVAL_max,0.7
previous_NFLAG_INSURED_ON_APPROVAL_min,0.0
previous_NFLAG_INSURED_ON_APPROVAL_var,17.2
previous_NFLAG_INSURED_ON_APPROVAL_sum,1.2
previous_app/credit_min,67.0
previous_app/credit_var,44.9
previous_termination-last_due_mean,54.300000000000004
previous_termination-last_due_max,28.300000000000004
previous_termination-last_due_min,68.39999999999999
previous_termination-last_due_var,34.900000000000006
previous_NAME_CONTRACT_TYPE_Cash loans_count,7.6
previous_NAME_CONTRACT_TYPE_Cash loans_count_norm,11.0
previous_NAME_CONTRACT_TYPE_Consumer loans_count,7.4
previous_NAME_CONTRACT_TYPE_Consumer loans_count_norm,15.799999999999999
previous_NAME_CONTRACT_TYPE_Revolving loans_count,3.5000000000000004
previous_NAME_CONTRACT_TYPE_Revolving loans_count_norm,9.1
previous_NAME_CONTRACT_TYPE_XNA_count,0.0
previous_NAME_CONTRACT_TYPE_XNA_count_norm,0.0
previous_WEEKDAY_APPR_PROCESS_START_FRIDAY_count,6.0
previous_WEEKDAY_APPR_PROCESS_START_FRIDAY_count_norm,26.099999999999998
previous_WEEKDAY_APPR_PROCESS_START_MONDAY_count,5.6000000000000005
previous_WEEKDAY_APPR_PROCESS_START_MONDAY_count_norm,24.7
previous_WEEKDAY_APPR_PROCESS_START_SATURDAY_count,3.9
previous_WEEKDAY_APPR_PROCESS_START_SATURDAY_count_norm,28.6
previous_WEEKDAY_APPR_PROCESS_START_SUNDAY_count,4.4
previous_WEEKDAY_APPR_PROCESS_START_SUNDAY_count_norm,14.0
previous_WEEKDAY_APPR_PROCESS_START_THURSDAY_count,6.5
previous_WEEKDAY_APPR_PROCESS_START_THURSDAY_count_norm,32.800000000000004
previous_WEEKDAY_APPR_PROCESS_START_TUESDAY_count,7.200000000000001
previous_WEEKDAY_APPR_PROCESS_START_TUESDAY_count_norm,34.199999999999996
previous_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_count,6.200000000000001
previous_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_count_norm,23.4
previous_FLAG_LAST_APPL_PER_CONTRACT_N_count,0.0
previous_FLAG_LAST_APPL_PER_CONTRACT_N_count_norm,5.2
previous_NAME_CASH_LOAN_PURPOSE_Building a house or an annex_count,0.0
previous_NAME_CASH_LOAN_PURPOSE_Building a house or an annex_count_norm,1.1
previous_NAME_CASH_LOAN_PURPOSE_Business development_count,0.0
previous_NAME_CASH_LOAN_PURPOSE_Business development_count_norm,0.0
previous_NAME_CASH_LOAN_PURPOSE_Buying a garage_count,0.0
previous_NAME_CASH_LOAN_PURPOSE_Buying a garage_count_norm,0.0
previous_NAME_CASH_LOAN_PURPOSE_Buying a holiday home / land_count,0.0
previous_NAME_CASH_LOAN_PURPOSE_Buying a holiday home / land_count_norm,0.0
previous_NAME_CASH_LOAN_PURPOSE_Buying a home_count,0.0
previous_NAME_CASH_LOAN_PURPOSE_Buying a home_count_norm,0.30000000000000004
previous_NAME_CASH_LOAN_PURPOSE_Buying a new car_count,0.0
previous_NAME_CASH_LOAN_PURPOSE_Buying a new car_count_norm,0.1
previous_NAME_CASH_LOAN_PURPOSE_Buying a used car_count,0.2
previous_NAME_CASH_LOAN_PURPOSE_Buying a used car_count_norm,0.4
previous_NAME_CASH_LOAN_PURPOSE_Car repairs_count,0.0
previous_NAME_CASH_LOAN_PURPOSE_Car repairs_count_norm,0.4
previous_NAME_CASH_LOAN_PURPOSE_Education_count,0.2
previous_NAME_CASH_LOAN_PURPOSE_Education_count_norm,0.7
previous_NAME_CASH_LOAN_PURPOSE_Everyday expenses_count,0.4
previous_NAME_CASH_LOAN_PURPOSE_Everyday expenses_count_norm,0.9999999999999999
previous_NAME_CASH_LOAN_PURPOSE_Furniture_count,0.0
previous_NAME_CASH_LOAN_PURPOSE_Furniture_count_norm,0.0
previous_NAME_CASH_LOAN_PURPOSE_Gasification / water supply_count,0.0
previous_NAME_CASH_LOAN_PURPOSE_Gasification / water supply_count_norm,0.0
previous_NAME_CASH_LOAN_PURPOSE_Hobby_count,0.0
previous_NAME_CASH_LOAN_PURPOSE_Hobby_count_norm,0.0
previous_NAME_CASH_LOAN_PURPOSE_Journey_count,0.0
previous_NAME_CASH_LOAN_PURPOSE_Journey_count_norm,3.7
previous_NAME_CASH_LOAN_PURPOSE_Medicine_count,0.1
previous_NAME_CASH_LOAN_PURPOSE_Medicine_count_norm,0.2
previous_NAME_CASH_LOAN_PURPOSE_Money for a third person_count,0.0
previous_NAME_CASH_LOAN_PURPOSE_Money for a third person_count_norm,0.0
previous_NAME_CASH_LOAN_PURPOSE_Other_count,0.6
previous_NAME_CASH_LOAN_PURPOSE_Other_count_norm,4.5
previous_NAME_CASH_LOAN_PURPOSE_Payments on other loans_count,0.1
previous_NAME_CASH_LOAN_PURPOSE_Payments on other loans_count_norm,0.0
previous_NAME_CASH_LOAN_PURPOSE_Purchase of electronic equipment_count,0.0
previous_NAME_CASH_LOAN_PURPOSE_Purchase of electronic equipment_count_norm,0.0
previous_NAME_CASH_LOAN_PURPOSE_Refusal to name the goal_count,0.0
previous_NAME_CASH_LOAN_PURPOSE_Refusal to name the goal_count_norm,0.0
previous_NAME_CASH_LOAN_PURPOSE_Repairs_count,1.5000000000000002
previous_NAME_CASH_LOAN_PURPOSE_Repairs_count_norm,8.0
previous_NAME_CASH_LOAN_PURPOSE_Urgent needs_count,0.1
previous_NAME_CASH_LOAN_PURPOSE_Urgent needs_count_norm,4.2
previous_NAME_CASH_LOAN_PURPOSE_Wedding / gift / holiday_count,0.1
previous_NAME_CASH_LOAN_PURPOSE_Wedding / gift / holiday_count_norm,0.0
previous_NAME_CASH_LOAN_PURPOSE_XAP_count,8.3
previous_NAME_CASH_LOAN_PURPOSE_XNA_count_norm,17.099999999999998
previous_NAME_CONTRACT_STATUS_Approved_count_norm,31.1
previous_NAME_CONTRACT_STATUS_Canceled_count,2.1
previous_NAME_CONTRACT_STATUS_Canceled_count_norm,11.600000000000001
previous_NAME_CONTRACT_STATUS_Refused_count,11.2
previous_NAME_CONTRACT_STATUS_Refused_count_norm,44.099999999999994
previous_NAME_CONTRACT_STATUS_Unused offer_count,0.6
previous_NAME_CONTRACT_STATUS_Unused offer_count_norm,4.4
previous_NAME_PAYMENT_TYPE_Cash through the bank_count,12.0
previous_NAME_PAYMENT_TYPE_Cash through the bank_count_norm,25.300000000000004
previous_NAME_PAYMENT_TYPE_Cashless from the account of the employer_count,0.0
previous_NAME_PAYMENT_TYPE_Cashless from the account of the employer_count_norm,0.2
previous_NAME_PAYMENT_TYPE_Non-cash from your account_count,0.4
previous_NAME_PAYMENT_TYPE_Non-cash from your account_count_norm,2.2
previous_NAME_PAYMENT_TYPE_XNA_count,5.999999999999999
previous_CODE_REJECT_REASON_HC_count,5.5
previous_CODE_REJECT_REASON_HC_count_norm,27.4
previous_CODE_REJECT_REASON_LIMIT_count,5.5
previous_CODE_REJECT_REASON_LIMIT_count_norm,16.0
previous_CODE_REJECT_REASON_SCO_count,3.0000000000000004
previous_CODE_REJECT_REASON_SCO_count_norm,14.9
previous_CODE_REJECT_REASON_SCOFR_count,3.0000000000000004
previous_CODE_REJECT_REASON_SCOFR_count_norm,3.0999999999999996
previous_CODE_REJECT_REASON_SYSTEM_count,0.0
previous_CODE_REJECT_REASON_SYSTEM_count_norm,0.0
previous_CODE_REJECT_REASON_VERIF_count,0.2
previous_CODE_REJECT_REASON_VERIF_count_norm,0.6
previous_CODE_REJECT_REASON_XAP_count_norm,30.7
previous_CODE_REJECT_REASON_XNA_count,0.2
previous_CODE_REJECT_REASON_XNA_count_norm,0.7000000000000001
previous_NAME_TYPE_SUITE_Children_count,0.9999999999999999
previous_NAME_TYPE_SUITE_Children_count_norm,4.7
previous_NAME_TYPE_SUITE_Family_count,6.7
previous_NAME_TYPE_SUITE_Family_count_norm,18.3
previous_NAME_TYPE_SUITE_Group of people_count,0.0
previous_NAME_TYPE_SUITE_Group of people_count_norm,0.0
previous_NAME_TYPE_SUITE_Other_A_count,0.6
previous_NAME_TYPE_SUITE_Other_A_count_norm,2.0999999999999996
previous_NAME_TYPE_SUITE_Other_B_count,0.8999999999999999
previous_NAME_TYPE_SUITE_Other_B_count_norm,2.1
"previous_NAME_TYPE_SUITE_Spouse, partner_count",2.5
"previous_NAME_TYPE_SUITE_Spouse, partner_count_norm",20.700000000000003
previous_NAME_TYPE_SUITE_Unaccompanied_count,7.300000000000001
previous_NAME_TYPE_SUITE_Unaccompanied_count_norm,26.5
previous_NAME_CLIENT_TYPE_New_count,8.6
previous_NAME_CLIENT_TYPE_New_count_norm,21.7
previous_NAME_CLIENT_TYPE_Refreshed_count,5.2
previous_NAME_CLIENT_TYPE_Refreshed_count_norm,18.3
previous_NAME_CLIENT_TYPE_Repeater_count_norm,23.500000000000004
previous_NAME_CLIENT_TYPE_XNA_count,0.5
previous_NAME_CLIENT_TYPE_XNA_count_norm,0.1
previous_NAME_GOODS_CATEGORY_Additional Service_count,0.0
