fold,train,valid
0,0.8820885974328466,0.7609271985266078
1,0.8938748164600884,0.7813407596770566
2,0.860395873609638,0.7762856980454889
3,0.9249925007050365,0.7735078684920517
4,0.8437729365707365,0.776547825228954
5,0.8681857686760327,0.784162660738965
6,0.8712334515240078,0.7738443036470452
7,0.9227802512600259,0.7686678915089609
8,0.8397754218269899,0.7741838930822145
9,0.8800454510574106,0.7632517838112616
overall,0.8787145069122813,0.7732330575863877
