feature,importance
OCCUPATION_TYPE_Realty agents,0.30000000000000004
OCCUPATION_TYPE_Sales staff,32.9
OCCUPATION_TYPE_Secretaries,0.6
OCCUPATION_TYPE_Security staff,1.5
OCCUPATION_TYPE_Unemployed,16.5
OCCUPATION_TYPE_Waiters/barmen staff,1.2
WEEKDAY_APPR_PROCESS_START_FRIDAY,12.4
WEEKDAY_APPR_PROCESS_START_MONDAY,25.999999999999996
WEEKDAY_APPR_PROCESS_START_SATURDAY,14.0
WEEKDAY_APPR_PROCESS_START_SUNDAY,9.200000000000001
WEEKDAY_APPR_PROCESS_START_THURSDAY,4.7
WEEKDAY_APPR_PROCESS_START_TUESDAY,41.099999999999994
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,30.7
ORGANIZATION_TYPE_Advertising,0.4
ORGANIZATION_TYPE_Agriculture,0.7
ORGANIZATION_TYPE_Bank,2.3000000000000003
ORGANIZATION_TYPE_Business Entity Type 1,2.8000000000000003
ORGANIZATION_TYPE_Business Entity Type 2,1.3
ORGANIZATION_TYPE_Business Entity Type 3,58.400000000000006
ORGANIZATION_TYPE_Cleaning,0.5
ORGANIZATION_TYPE_Construction,36.400000000000006
ORGANIZATION_TYPE_Culture,0.0
ORGANIZATION_TYPE_Electricity,0.1
ORGANIZATION_TYPE_Emergency,0.1
ORGANIZATION_TYPE_Government,2.0
ORGANIZATION_TYPE_Hotel,0.9999999999999999
ORGANIZATION_TYPE_Housing,1.1
ORGANIZATION_TYPE_Industry: type 1,1.3000000000000003
ORGANIZATION_TYPE_Industry: type 10,0.0
ORGANIZATION_TYPE_Industry: type 11,2.1
ORGANIZATION_TYPE_Industry: type 12,1.4000000000000004
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Industry: type 2,0.0
ORGANIZATION_TYPE_Industry: type 3,1.7000000000000002
ORGANIZATION_TYPE_Industry: type 4,1.9999999999999998
ORGANIZATION_TYPE_Industry: type 5,0.5
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Industry: type 7,0.4
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Industry: type 9,10.799999999999999
ORGANIZATION_TYPE_Insurance,0.6
ORGANIZATION_TYPE_Kindergarten,3.6
ORGANIZATION_TYPE_Legal Services,1.5
ORGANIZATION_TYPE_Medicine,9.799999999999999
ORGANIZATION_TYPE_Military,13.8
ORGANIZATION_TYPE_Mobile,1.2000000000000002
ORGANIZATION_TYPE_Other,2.3000000000000003
ORGANIZATION_TYPE_Police,2.5000000000000004
ORGANIZATION_TYPE_Postal,0.9999999999999999
ORGANIZATION_TYPE_Realtor,12.8
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Restaurant,4.6
ORGANIZATION_TYPE_School,19.2
ORGANIZATION_TYPE_Security,1.6
ORGANIZATION_TYPE_Security Ministries,3.1999999999999993
ORGANIZATION_TYPE_Self-employed,72.89999999999999
ORGANIZATION_TYPE_Services,0.4
ORGANIZATION_TYPE_Telecom,3.1
ORGANIZATION_TYPE_Trade: type 1,0.4
ORGANIZATION_TYPE_Trade: type 2,0.30000000000000004
ORGANIZATION_TYPE_Trade: type 3,4.4
ORGANIZATION_TYPE_Trade: type 4,0.0
ORGANIZATION_TYPE_Trade: type 5,0.1
ORGANIZATION_TYPE_Trade: type 6,0.2
ORGANIZATION_TYPE_Trade: type 7,2.4000000000000004
ORGANIZATION_TYPE_Transport: type 1,0.0
ORGANIZATION_TYPE_Transport: type 2,1.0
ORGANIZATION_TYPE_Transport: type 3,15.700000000000001
ORGANIZATION_TYPE_Transport: type 4,3.1
ORGANIZATION_TYPE_University,0.8
ORGANIZATION_TYPE_XNA,0.0
FONDKAPREMONT_MODE_not specified,1.5
FONDKAPREMONT_MODE_org spec account,1.5
FONDKAPREMONT_MODE_reg oper account,8.200000000000001
FONDKAPREMONT_MODE_reg oper spec account,5.3
HOUSETYPE_MODE_block of flats,27.8
HOUSETYPE_MODE_specific housing,2.9
HOUSETYPE_MODE_terraced house,0.4
WALLSMATERIAL_MODE_Block,2.7
WALLSMATERIAL_MODE_Mixed,1.4000000000000001
WALLSMATERIAL_MODE_Monolithic,0.30000000000000004
WALLSMATERIAL_MODE_Others,3.0999999999999996
WALLSMATERIAL_MODE_Panel,38.4
"WALLSMATERIAL_MODE_Stone, brick",24.400000000000002
WALLSMATERIAL_MODE_Wooden,2.2
EMERGENCYSTATE_MODE_No,56.5
EMERGENCYSTATE_MODE_Yes,3.5
OWN_CAR_AGE_CATEGORY_very-new,28.700000000000003
OWN_CAR_AGE_CATEGORY_new,30.1
OWN_CAR_AGE_CATEGORY_old,7.4
OWN_CAR_AGE_CATEGORY_very-old,11.100000000000001
OWN_CAR_AGE_CATEGORY_antique,2.2
OWN_CAR_AGE_CATEGORY_not-have,29.099999999999998
bureau_DAYS_CREDIT_count,18.3
bureau_DAYS_CREDIT_mean,73.89999999999999
bureau_DAYS_CREDIT_max,171.89999999999998
bureau_DAYS_CREDIT_min,58.599999999999994
bureau_DAYS_CREDIT_var,70.6
bureau_DAYS_CREDIT_sum,52.6
bureau_CREDIT_DAY_OVERDUE_mean,4.400000000000001
bureau_CREDIT_DAY_OVERDUE_max,5.6000000000000005
bureau_CREDIT_DAY_OVERDUE_min,1.4000000000000001
bureau_DAYS_CREDIT_ENDDATE_mean,58.59999999999999
bureau_DAYS_CREDIT_ENDDATE_max,136.2
bureau_DAYS_CREDIT_ENDDATE_min,45.1
bureau_DAYS_CREDIT_ENDDATE_var,71.8
bureau_DAYS_CREDIT_ENDDATE_sum,55.699999999999996
bureau_DAYS_ENDDATE_FACT_count,24.7
bureau_DAYS_ENDDATE_FACT_mean,49.599999999999994
bureau_DAYS_ENDDATE_FACT_max,107.10000000000001
bureau_DAYS_ENDDATE_FACT_min,46.099999999999994
bureau_DAYS_ENDDATE_FACT_var,56.9
bureau_DAYS_ENDDATE_FACT_sum,34.7
bureau_CNT_CREDIT_PROLONG_mean,4.300000000000001
bureau_CNT_CREDIT_PROLONG_max,3.6999999999999997
bureau_CNT_CREDIT_PROLONG_min,0.2
bureau_CNT_CREDIT_PROLONG_var,5.8999999999999995
bureau_AMT_CREDIT_SUM_mean,87.60000000000002
bureau_AMT_CREDIT_SUM_max,71.00000000000001
bureau_AMT_CREDIT_SUM_min,83.2
bureau_AMT_CREDIT_SUM_var,62.1
bureau_AMT_CREDIT_SUM_sum,77.39999999999999
bureau_AMT_CREDIT_SUM_DEBT_mean,105.50000000000001
bureau_AMT_CREDIT_SUM_DEBT_max,53.599999999999994
bureau_AMT_CREDIT_SUM_DEBT_min,45.7
bureau_AMT_CREDIT_SUM_DEBT_var,79.2
bureau_AMT_CREDIT_SUM_LIMIT_count,23.7
bureau_AMT_CREDIT_SUM_LIMIT_mean,35.9
bureau_AMT_CREDIT_SUM_LIMIT_max,46.10000000000001
bureau_AMT_CREDIT_SUM_LIMIT_min,15.600000000000001
bureau_AMT_CREDIT_SUM_LIMIT_var,45.699999999999996
bureau_AMT_CREDIT_SUM_OVERDUE_mean,22.7
bureau_AMT_CREDIT_SUM_OVERDUE_max,24.8
bureau_AMT_CREDIT_SUM_OVERDUE_min,0.1
bureau_AMT_CREDIT_SUM_OVERDUE_var,5.700000000000001
bureau_DAYS_CREDIT_UPDATE_mean,44.5
bureau_DAYS_CREDIT_UPDATE_max,71.6
bureau_DAYS_CREDIT_UPDATE_min,36.099999999999994
bureau_DAYS_CREDIT_UPDATE_var,62.0
bureau_DAYS_CREDIT_UPDATE_sum,37.099999999999994
bureau_CREDIT_ACTIVE_Active_count,106.69999999999999
