feature,importance
0,118.1
1,92.59999999999998
2,116.19999999999999
3,75.6
4,150.0
5,275.9
6,254.30000000000004
7,215.2
8,255.20000000000002
9,225.8
10,163.99999999999997
11,230.3
12,76.39999999999999
13,42.0
14,107.00000000000001
15,213.30000000000004
16,97.0
17,89.89999999999999
18,580.0
19,26.700000000000003
20,28.699999999999996
21,38.199999999999996
22,13.200000000000003
23,22.2
24,20.999999999999996
25,29.3
26,23.4
27,26.400000000000002
28,27.800000000000004
29,23.6
30,42.9
31,14.0
32,46.6
33,49.099999999999994
34,25.2
35,28.299999999999997
36,22.000000000000004
37,14.499999999999998
38,12.0
39,31.2
40,9.1
41,23.6
42,18.900000000000002
43,11.899999999999999
44,13.299999999999999
45,14.200000000000001
46,44.7
47,145.1
48,42.099999999999994
49,236.9
50,96.6
51,86.0
52,176.5
53,312.4
54,136.0
55,78.6
56,71.8
57,64.3
58,230.20000000000002
59,97.4
60,55.400000000000006
61,63.0
62,175.9
63,229.89999999999998
64,79.0
65,48.0
66,76.0
67,29.4
68,27.699999999999996
69,125.30000000000001
70,219.6
71,87.7
72,71.8
73,216.79999999999998
74,69.9
75,89.8
76,34.1
77,64.60000000000001
78,146.5
79,62.19999999999999
80,40.1
81,191.4
82,122.50000000000001
83,73.6
84,67.1
85,107.0
86,54.800000000000004
87,50.400000000000006
88,155.7
89,63.1
90,38.9
91,57.3
92,44.1
93,38.300000000000004
94,8.3
95,141.10000000000002
96,10.4
97,67.99999999999999
98,68.1
99,73.0
100,92.7
101,101.7
102,54.099999999999994
103,80.3
104,85.9
105,57.900000000000006
106,93.3
107,42.49999999999999
108,51.199999999999996
109,75.1
110,86.5
111,11.2
112,111.00000000000001
113,49.50000000000001
114,37.39999999999999
115,109.29999999999998
116,36.1
117,9.1
118,28.900000000000002
119,25.6
120,86.5
121,61.599999999999994
122,71.99999999999999
123,30.9
124,70.3
125,153.5
126,47.099999999999994
127,48.699999999999996
128,22.8
129,33.4
130,72.0
131,24.999999999999996
132,7.500000000000001
133,33.1
134,19.900000000000002
135,128.3
136,47.3
137,109.5
138,9.299999999999999
139,17.2
140,21.6
141,19.1
142,6.700000000000001
143,17.700000000000003
144,18.400000000000002
145,35.99999999999999
146,24.5
147,37.6
148,19.2
149,36.6
150,13.399999999999999
151,22.400000000000002
152,18.0
153,46.89999999999999
154,17.099999999999998
155,39.199999999999996
156,20.299999999999997
157,39.50000000000001
158,11.9
159,22.9
160,30.400000000000002
161,6.6
162,21.7
163,103.80000000000001
164,47.4
165,12.700000000000001
166,38.9
167,9.6
168,32.5
169,38.199999999999996
170,33.800000000000004
171,12.599999999999998
172,29.8
173,38.800000000000004
174,55.300000000000004
175,50.9
176,23.099999999999998
177,35.4
178,27.400000000000002
179,28.1
180,23.1
181,11.100000000000001
182,22.300000000000004
183,14.299999999999999
184,29.1
185,6.2
186,14.5
187,9.2
188,22.3
189,5.1
190,16.5
191,23.0
192,95.50000000000001
193,21.2
194,12.0
195,25.000000000000004
196,12.100000000000001
197,28.599999999999998
198,20.3
199,35.599999999999994
200,17.5
201,29.200000000000003
202,39.4
203,22.900000000000002
204,27.0
205,22.6
206,15.500000000000002
207,5.1
208,21.3
209,124.7
210,51.9
211,60.5
212,42.1
213,30.799999999999997
214,47.4
215,17.5
216,5.6
217,16.4
218,36.300000000000004
219,35.699999999999996
220,27.6
221,15.200000000000001
222,19.6
223,47.400000000000006
224,72.89999999999999
225,115.89999999999999
226,50.800000000000004
227,76.5
228,59.7
229,75.19999999999999
230,94.5
231,37.199999999999996
232,49.80000000000001
233,73.3
234,68.4
235,42.9
236,47.10000000000001
237,42.3
238,103.2
239,33.1
240,73.6
241,70.8
242,54.2
243,45.3
244,62.199999999999996
245,40.5
246,91.69999999999999
247,227.5
248,112.99999999999999
249,116.5
