fold,train,valid
0,0.956717155079012,0.7680804524027812
1,0.861016102528586,0.7792143727142232
2,0.8728831415312309,0.7710394556276441
3,0.8761671835131355,0.7695096054703131
4,0.8905272177707969,0.7785781936066847
5,0.8998474080611011,0.7714217166462082
6,0.8771440135894008,0.765502523119122
7,0.8955410222422372,0.7695363806397026
8,0.8543867407501214,0.7773266136183365
9,0.9427079614568963,0.7749288049852254
overall,0.8926937946522517,0.7724163776850845
