feature,importance
0,16.7
1,16.3
2,124.39999999999999
3,207.09999999999997
4,141.4
5,109.39999999999999
6,216.20000000000002
7,178.2
8,166.6
9,153.10000000000002
10,0.0
11,0.4
12,0.0
13,7.6
14,37.8
15,62.8
16,2.3000000000000003
17,362.7
18,348.50000000000006
19,274.70000000000005
20,40.0
21,24.900000000000006
22,31.2
23,8.6
24,24.3
25,16.9
26,26.300000000000004
27,25.1
28,25.1
29,25.5
30,5.6
31,8.9
32,27.699999999999996
33,46.300000000000004
34,14.6
35,18.8
36,15.0
37,5.3999999999999995
38,5.6
39,6.300000000000001
40,29.199999999999996
41,20.799999999999997
42,45.4
43,135.6
44,31.2
45,0.0
46,0.8
47,2.2
48,16.4
49,20.8
50,135.8
51,191.0
52,127.3
53,82.30000000000001
54,65.39999999999999
55,0.9000000000000001
56,5.8999999999999995
57,16.2
58,17.1
59,48.5
60,17.1
61,14.3
62,14.899999999999999
63,14.100000000000001
64,9.3
65,0.2
66,0.0
67,0.0
68,0.0
69,22.8
70,0.0
71,1.5000000000000002
72,1.4000000000000001
73,78.79999999999998
74,146.8
75,48.0
76,71.6
77,52.4
78,2.7000000000000006
79,63.2
80,120.79999999999998
81,55.49999999999999
82,85.69999999999999
83,68.1
84,12.599999999999998
85,56.7
86,95.89999999999999
87,52.60000000000001
88,71.50000000000001
89,34.400000000000006
90,0.0
91,105.10000000000001
92,70.60000000000001
93,84.4
94,79.99999999999999
95,79.19999999999999
96,98.49999999999999
97,49.40000000000001
98,42.1
99,32.1
100,60.8
101,69.89999999999999
102,43.800000000000004
103,54.9
104,40.800000000000004
105,56.59999999999999
106,42.599999999999994
107,0.0
108,8.100000000000001
109,0.0
110,22.7
111,40.199999999999996
112,29.200000000000003
113,0.2
114,36.300000000000004
115,28.5
116,13.2
117,91.6
118,30.2
119,70.60000000000001
120,48.900000000000006
121,24.000000000000004
122,44.699999999999996
123,52.0
124,77.8
125,25.700000000000003
126,34.6
127,76.30000000000001
128,40.0
129,51.300000000000004
130,49.0
131,39.9
132,57.4
133,51.5
134,52.399999999999984
135,88.4
136,40.9
137,103.7
138,11.9
139,102.7
140,26.0
141,0.1
142,40.699999999999996
143,25.3
144,28.700000000000003
145,54.49999999999999
146,60.9
147,92.7
148,42.3
149,38.2
150,17.5
151,30.900000000000002
152,49.50000000000001
153,48.300000000000004
154,18.8
155,0.2
156,29.900000000000002
157,83.80000000000001
158,44.099999999999994
159,13.500000000000002
160,22.4
161,12.7
162,30.400000000000002
163,8.1
164,31.4
165,35.6
166,0.5
167,2.0
168,1.5
169,32.7
170,37.39999999999999
171,21.0
172,8.5
173,42.6
174,22.700000000000003
175,36.8
176,35.300000000000004
177,6.0
178,19.000000000000004
179,1.6
180,12.2
181,32.300000000000004
182,0.30000000000000004
183,6.7
184,6.200000000000001
185,33.7
186,0.0
187,0.0
188,14.5
189,6.800000000000001
190,22.400000000000002
191,0.0
192,0.30000000000000004
193,0.2
194,0.30000000000000004
195,8.399999999999999
196,2.0
197,8.5
198,17.7
199,22.4
200,7.1000000000000005
201,42.3
202,22.6
203,2.6999999999999997
204,13.2
205,10.700000000000001
206,17.099999999999998
207,31.599999999999998
208,13.200000000000001
209,5.3999999999999995
210,22.699999999999996
211,13.600000000000001
212,20.100000000000005
213,20.9
214,72.3
215,37.49999999999999
216,13.9
217,11.3
218,7.9
219,14.3
220,23.0
221,1.3000000000000003
222,24.7
223,60.00000000000001
224,65.89999999999999
225,36.8
226,88.4
227,82.80000000000001
228,103.89999999999999
229,11.9
230,11.4
231,45.2
232,12.399999999999999
233,28.199999999999996
234,0.0
235,68.9
236,0.4
237,59.6
238,62.6
239,0.2
240,93.10000000000001
241,119.50000000000003
242,119.29999999999998
243,117.0
244,52.2
245,29.8
246,52.300000000000004
247,110.2
248,115.19999999999999
249,94.69999999999999
