fold,train,valid
0,0.9972251186046467,0.9788661676365085
1,0.997327591227778,0.9783932672280339
2,0.9972961867275405,0.9784635752810649
3,0.9973957172632316,0.9794148358700903
4,0.99730747611148,0.978484413668129
5,0.9972959995778675,0.9788790446871664
6,0.9972902852259958,0.9796023513984271
7,0.9972547798343088,0.9788934194931976
8,0.9973363934444414,0.9793344075504128
9,0.9973573741685018,0.9794611170009757
overall,0.9973086922185793,0.9789789216930316
